[4-10][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-11][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-12][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-13][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-14][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-15][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-16][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-17][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-18][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-19][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-20][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-21][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-22][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-23][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-24][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-25][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-26][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-27][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-28][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-29][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-30][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-31][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-32][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-33][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-34][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-35][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-36][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-37][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-38][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-39][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-40][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-41][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-42][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-43][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-44][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-45][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-46][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-47][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-48][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-49][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-50][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-51][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-52][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-53][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-54][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-55][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-56][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-57][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-58][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-59][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-60][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-61][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-62][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-63][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-64][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-65][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-66][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-67][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-68][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-69][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-70][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-71][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-72][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-73][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-74][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-75][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-76][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-77][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-78][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-79][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-80][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-81][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-82][est]:0.216682837592, [payload]:0, [RSSI]:222 
[4-83][est]:0.216682837592, [payload]:0, [RSSI]:222 
[5-0][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-1][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-2][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-3][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-4][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-5][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-6][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-7][est]:0.17517229926, [payload]:ef, [RSSI]:222 
[5-8][est]:0.17517229926, [payload]:1, [RSSI]:222 
[5-9][est]:0.17517229926, [payload]:c, [RSSI]:222 
[5-10][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-11][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-12][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-13][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-14][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-15][est]:0.17517229926, [payload]:0, [RSSI]:222 
[5-16][est]:0.17517229926, [payload]:0, [RSSI]:222 
