[4-30][est]:1.0, [payload]:0, [RSSI]:227 
[4-31][est]:1.0, [payload]:0, [RSSI]:227 
[4-32][est]:1.0, [payload]:0, [RSSI]:227 
[4-33][est]:1.0, [payload]:0, [RSSI]:227 
[4-34][est]:1.0, [payload]:0, [RSSI]:227 
[4-35][est]:1.0, [payload]:0, [RSSI]:227 
[4-36][est]:1.0, [payload]:0, [RSSI]:227 
[4-37][est]:1.0, [payload]:0, [RSSI]:227 
[4-38][est]:1.0, [payload]:0, [RSSI]:227 
[4-39][est]:1.0, [payload]:0, [RSSI]:227 
[4-40][est]:1.0, [payload]:0, [RSSI]:227 
[4-41][est]:1.0, [payload]:0, [RSSI]:227 
[4-42][est]:1.0, [payload]:0, [RSSI]:227 
[4-43][est]:1.0, [payload]:0, [RSSI]:227 
[4-44][est]:1.0, [payload]:0, [RSSI]:227 
[4-45][est]:1.0, [payload]:0, [RSSI]:227 
[4-46][est]:1.0, [payload]:0, [RSSI]:227 
[4-47][est]:1.0, [payload]:0, [RSSI]:227 
[4-48][est]:1.0, [payload]:0, [RSSI]:227 
[4-49][est]:1.0, [payload]:0, [RSSI]:227 
[4-50][est]:1.0, [payload]:0, [RSSI]:227 
[4-51][est]:1.0, [payload]:0, [RSSI]:227 
[4-52][est]:1.0, [payload]:0, [RSSI]:227 
[4-53][est]:1.0, [payload]:0, [RSSI]:227 
[4-54][est]:1.0, [payload]:0, [RSSI]:227 
[4-55][est]:1.0, [payload]:0, [RSSI]:227 
[4-56][est]:1.0, [payload]:0, [RSSI]:227 
[4-57][est]:1.0, [payload]:0, [RSSI]:227 
[4-58][est]:1.0, [payload]:0, [RSSI]:227 
[4-59][est]:1.0, [payload]:0, [RSSI]:227 
[4-60][est]:1.0, [payload]:0, [RSSI]:227 
[4-61][est]:1.0, [payload]:0, [RSSI]:227 
[4-62][est]:1.0, [payload]:0, [RSSI]:227 
[4-63][est]:1.0, [payload]:0, [RSSI]:227 
[4-64][est]:1.0, [payload]:0, [RSSI]:227 
[4-65][est]:1.0, [payload]:0, [RSSI]:227 
[4-66][est]:1.0, [payload]:0, [RSSI]:227 
