[32-76][raw_rssi]:235, [spredRSSI]:234, [raw_data]:b8
[32-77][raw_rssi]:235, [spredRSSI]:234, [raw_data]:0
[32-78][raw_rssi]:235, [spredRSSI]:232, [raw_data]:0
[32-79][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[pilot][32-80][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-81][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-82][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-83][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-84][raw_rssi]:-1, [spredRSSI]:233, [raw_data]:0
[32-85][raw_rssi]:-1, [spredRSSI]:233, [raw_data]:0
[32-86][raw_rssi]:-1, [spredRSSI]:233, [raw_data]:0
[32-87][raw_rssi]:-1, [spredRSSI]:233, [raw_data]:0
[pilot][32-88][raw_rssi]:-1, [spredRSSI]:233, [raw_data]:0
[32-89][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[32-90][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:ff
[32-91][raw_rssi]:-1, [spredRSSI]:238, [raw_data]:df
[32-92][raw_rssi]:-1, [spredRSSI]:240, [raw_data]:de
[32-93][raw_rssi]:-1, [spredRSSI]:242, [raw_data]:de
[32-94][raw_rssi]:-1, [spredRSSI]:242, [raw_data]:af
[32-95][raw_rssi]:-1, [spredRSSI]:242, [raw_data]:b0
[pilot][33-0][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-1][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-2][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-3][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-4][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-5][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-6][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-7][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[pilot][33-8][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-9][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-10][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-11][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-12][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-13][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-14][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-15][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[pilot][33-16][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[33-17][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-18][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[33-19][raw_rssi]:234, [spredRSSI]:236, [raw_data]:0
[33-20][raw_rssi]:238, [spredRSSI]:236, [raw_data]:0
[33-21][raw_rssi]:240, [spredRSSI]:236, [raw_data]:0
[33-22][raw_rssi]:241, [spredRSSI]:236, [raw_data]:0
[33-23][raw_rssi]:241, [spredRSSI]:236, [raw_data]:0
[pilot][33-24][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-25][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-26][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-27][raw_rssi]:242, [spredRSSI]:237, [raw_data]:0
[33-28][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-29][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-30][raw_rssi]:241, [spredRSSI]:236, [raw_data]:0
[33-31][raw_rssi]:241, [spredRSSI]:236, [raw_data]:0
[pilot][33-32][raw_rssi]:241, [spredRSSI]:237, [raw_data]:0
[33-33][raw_rssi]:241, [spredRSSI]:241, [raw_data]:0
[33-34][raw_rssi]:241, [spredRSSI]:243, [raw_data]:0
[33-35][raw_rssi]:241, [spredRSSI]:243, [raw_data]:0
[33-36][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
[33-37][raw_rssi]:241, [spredRSSI]:245, [raw_data]:0
