[2-58][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-59][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-60][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-61][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-62][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-63][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-64][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-65][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-66][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-67][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-68][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-69][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-70][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-71][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-72][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-73][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-74][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-75][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-76][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-77][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-78][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-79][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-80][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-81][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-82][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-83][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0 
[3-0][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-1][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[3-2][est]:0.954285439248, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]0 
[3-3][est]:0.738579384393, [payload]:b0, [Metric-RSSI]:[0]1,[1]0,[2]0 
[3-4][est]:0.276607558929, [payload]:b, [Metric-RSSI]:[0]0,[1]0,[2]0 
