[2-10][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-11][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-12][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-13][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-14][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-15][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-16][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-17][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-18][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-19][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-20][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-21][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-22][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-23][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-24][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-25][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-26][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-27][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-28][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-29][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-30][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-31][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-32][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-33][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-34][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-35][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-36][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-37][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-38][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-39][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-40][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-41][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-42][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-43][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-44][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-45][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-46][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-47][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-48][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
[2-49][est]:4.91532186862e-40, [payload]:0, [Metric-SINR]:[0]-45.0054707509 
