[1-83][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-0][est]:0.00031615275018, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]1,[4]1,[5]1 
[2-1][est]:0.00031615275018, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]1,[4]1,[5]1 
[2-2][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]1,[5]1 
[2-3][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]1 
[2-4][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-5][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-6][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-7][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-8][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-9][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-10][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-11][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-12][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-13][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-14][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-15][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-16][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-17][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-18][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-19][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-20][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-21][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-22][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-23][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-24][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-25][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-26][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-27][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-28][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-29][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-30][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-31][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-32][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-33][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-34][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-35][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-36][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-37][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-38][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[2-39][est]:0.000313683982365, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
